time_s,temperature_C,pwm,heat_cool
46.27,13.27,100,0
46.4,13.28,100,0
46.53,13.27,100,0
46.67,13.27,100,0
46.8,13.27,100,0
46.94,13.27,100,0
47.07,13.26,100,0
47.2,13.27,100,0
47.34,13.27,100,0
47.47,13.26,100,0
47.6,13.26,100,0
47.74,13.27,100,0
47.87,13.23,100,0
48.01,13.24,100,0
48.14,13.27,100,0
48.27,13.26,100,0
48.41,13.24,100,0
48.54,13.25,100,0
48.68,13.26,100,0
48.81,13.24,100,0
48.94,13.24,100,0
49.08,13.24,100,0
49.21,13.23,100,0
49.34,13.22,100,0
49.48,13.23,100,0
49.61,13.23,100,0
49.75,13.23,100,0
49.88,13.25,100,0
50.01,13.23,100,0
50.15,13.21,100,0
50.28,13.22,100,0
50.42,13.23,100,0
50.55,13.21,100,0
50.68,13.21,100,0
50.82,13.22,100,0
50.95,13.19,100,0
51.08,13.19,100,0
51.22,13.2,100,0
51.35,13.2,100,0
51.49,13.2,100,0
51.62,13.18,100,0
51.75,13.19,100,0
51.89,13.2,100,0
52.02,13.2,100,0
52.15,13.18,100,0
52.29,13.18,100,0
52.42,13.18,100,0
52.56,13.19,100,0
52.69,13.18,100,0
52.83,13.16,100,0
52.96,13.18,100,0
53.09,13.18,100,0
53.23,13.17,100,0
53.36,13.18,100,0
53.49,13.2,100,0
53.63,13.14,100,0
53.76,13.15,100,0
53.9,13.15,100,0
54.03,13.17,100,0
54.16,13.15,100,0
54.3,13.15,100,0
54.43,13.16,100,0
54.56,13.16,100,0
54.7,13.17,100,0
54.83,13.16,100,0
54.97,13.12,100,0
55.1,13.14,100,0
55.23,13.15,100,0
55.37,13.14,100,0
55.5,13.12,100,0
55.63,13.14,100,0
55.77,13.11,100,0
55.9,13.13,100,0
56.04,13.13,100,0
56.17,13.13,100,0
56.3,13.13,100,0
56.44,13.12,100,0
56.57,13.1,100,0
56.71,13.13,100,0
56.84,13.12,100,0
56.97,13.12,100,0
57.11,13.1,100,0
57.24,13.13,100,0
57.38,13.11,100,0
57.51,13.12,100,0
57.64,13.1,100,0
57.78,13.13,100,0
57.91,13.12,100,0
58.04,13.11,100,0
58.18,13.1,100,0
58.31,13.1,100,0
58.45,13.08,100,0
58.58,13.1,100,0
58.71,13.11,100,0
58.85,13.1,100,0
58.98,13.1,100,0
59.12,13.1,100,0
59.25,13.09,100,0
59.38,13.09,100,0
59.52,13.09,100,0
59.65,13.09,100,0
59.79,13.08,100,0
59.92,13.07,100,0
60.05,13.07,100,0
60.19,13.06,100,0
60.32,13.1,100,0
60.45,13.06,100,0
60.59,13.08,100,0
60.72,13.06,100,0
60.86,13.09,100,0
60.99,13.07,100,0
61.12,13.08,100,0
61.26,13.06,100,0
61.39,13.07,100,0
61.52,13.06,100,0
61.66,13.05,100,0
61.79,13.05,100,0
61.93,13.06,100,0
62.06,13.06,100,0
62.19,13.07,100,0
62.33,13.08,100,0
62.46,13.04,100,0
62.6,13.04,100,0
62.73,13.05,100,0
62.86,13.05,100,0
63.0,13.07,100,0
63.13,13.05,100,0
63.26,13.04,100,0
63.4,13.01,100,0
63.53,13.04,100,0
63.67,13.04,100,0
63.8,13.04,100,0
63.93,13.03,100,0
64.07,13.01,100,0
64.2,13.03,100,0
64.33,13.04,100,0
64.47,13.02,100,0
64.6,13.04,100,0
64.74,13.02,100,0
64.87,13.02,100,0
